,Magnitude(acc)__sum_values,Magnitude(acc)__median,Magnitude(acc)__mean,Magnitude(acc)__length,Magnitude(acc)__standard_deviation,Magnitude(acc)__variance,Magnitude(acc)__root_mean_square,Magnitude(acc)__maximum,Magnitude(acc)__absolute_maximum,Magnitude(acc)__minimum,speed__sum_values,speed__median,speed__mean,speed__length,speed__standard_deviation,speed__variance,speed__root_mean_square,speed__maximum,speed__absolute_maximum,speed__minimum,roll__standard_deviation,roll__variance,roll__root_mean_square,pitch__standard_deviation,pitch__variance,pitch__root_mean_square,pitch__absolute_maximum,yaw__standard_deviation,yaw__variance,activity
\1. Car_CSV\Auto-2023-05-14_15-05-18_0,3341.4816340417824,0.4120241032914687,0.5151837240274102,6486.0,0.5345437954899432,0.28573706929679427,0.7423956753642528,27.18134213105443,27.18134213105443,0.016633574818107597,328.17754098773,6.92347526550293,4.972386984662577,66.0,3.6689683519017904,13.46132876725694,6.179479030832512,9.3514986038208,9.3514986038208,0.0,0.10294309028356795,0.010597279837130822,0.10341561629043904,0.10476314410014283,0.01097531636174729,1.2089292508759555,1.3409591913223269,0.35180563699317435,0.12376720622017315,car
\1. Car_CSV\Auto-2023-05-14_15-05-18_1,3278.6501912698004,0.39861794162558223,0.5054964833903485,6486.0,0.5186211656912898,0.2689679135029923,0.7242199998778004,21.45911407872228,21.45911407872228,0.02234778073407063,480.8284740447998,7.167602062225342,7.285279909769694,66.0,2.6932933128071155,7.253828868811526,7.767183030707172,13.712409019470217,13.712409019470217,1.9876234531402588,0.20970377186382794,0.043975671933916397,0.26716556706085154,0.11126471922877675,0.012379837745058521,1.2122307997385036,1.3818092346191406,0.5392668163630064,0.29080869923029246,car
\1. Car_CSV\Auto-2023-05-14_15-05-18_2,3682.115505672209,0.4897698391905908,0.5677020514449906,6486.0,0.3706584884472021,0.13738771505796465,0.677992134373855,4.972267624236616,4.972267624236616,0.006089675548751916,1216.3454871177673,21.378908157348633,18.42947707754193,66.0,5.168195004271365,26.710239602175495,19.140424889584317,22.880481719970703,22.880481719970703,6.381330490112305,0.16720487393011774,0.027957469865986566,0.20920499109425425,0.05160417681411867,0.0026629910646628232,1.2306809398036587,1.3525561094284058,0.46207200496464307,0.21351053777204512,car
\1. Car_CSV\Auto-2023-05-14_15-05-18_3,3143.9214157919946,0.4469935366063999,0.4847242392525431,6486.0,0.25448344144146373,0.0647618219678909,0.5474663552099321,3.9714633643804516,3.9714633643804516,0.0179177832321481,1466.6609897613525,22.51593589782715,22.56401522709773,65.0,0.15231262726340114,0.02319913642387977,22.56452929500463,22.94803047180176,22.94803047180176,21.89040756225586,0.09706141459558988,0.009420918203296987,0.15093030066631336,0.006908954905852343,4.773365789110116e-05,1.2283990836018281,1.2512975931167605,0.1534939393828619,0.023560389427269686,car
\1. Car_CSV\Auto-2023-05-14_15-05-18_4,5127.785183678816,0.7148654468379622,0.7907147546150834,6485.0,0.4240459704451025,0.17981498505072874,0.897242892541769,4.998582681242745,4.998582681242745,0.034735331996473454,1897.5024394989014,23.629940032958984,29.19234522306002,65.0,7.883512650040252,62.149771703344676,30.238101648841315,42.51116943359375,42.51116943359375,21.65847396850586,0.17747744214305522,0.03149824246964151,0.17962961789855586,0.06545259868004663,0.004284042673971243,1.248765086065543,1.374245047569275,0.17537666904746096,0.03075697604618265,car
\1. Car_CSV\Auto-2023-05-14_15-05-18_5,3469.269130279059,0.44432888271054477,0.5349682544763391,6485.0,0.3726080970051002,0.13883679395376217,0.6519415826983452,4.968998759347976,4.968998759347976,0.029337357176515328,724.7448723316193,7.283339977264404,11.149921112794143,65.0,8.110931534640981,65.7872103596335,13.787963996949154,37.00897979736328,37.00897979736328,3.637745141983032,0.23973159600145352,0.057471238121404124,0.29052501241233203,0.09292338674470328,0.008634755804105698,1.161974536404431,1.3811358213424685,2.193732130621584,4.812460660921515,car
\1. Car_CSV\Auto-2023-05-14_15-05-18_6,3031.5520888894694,0.37613350507861487,0.46747140923507624,6485.0,0.5357011391196949,0.2869757104541387,0.7109889091303513,10.590869981301664,10.590869981301664,0.004645296467653099,100.59267171301266,0.4083898961544037,1.5475795648155795,65.0,1.838808756192378,3.3812176418497604,2.4033768225737178,6.235097885131836,6.235097885131836,4.479707035892697e-18,0.09305888818518467,0.008659956670262703,0.11025143353433976,0.13386750369091535,0.017920508544437237,1.1760586155134045,1.313925862312317,0.2080993239525673,0.04330532862951555,car
\1. Car_CSV\Auto-2023-05-14_16-22-43_0,3473.588215372716,0.40173539545756237,0.5636197006932852,6163.0,0.6416009983564969,0.41165184109205355,0.8540017611818151,12.248184351299694,12.248184351299694,0.007733850214263476,503.3396382241181,5.824389934539795,6.711195176321575,75.0,4.369696134151361,19.09424430481735,8.008394658075945,13.959657669067385,13.959657669067385,8.960691668785095e-16,0.23595033793397313,0.055672561971156116,0.26161981821163804,0.08673112669471393,0.007522288337734519,1.084284122544878,1.5247822999954224,1.5848634153661016,2.5117920453659046,car
\1. Car_CSV\Auto-2023-05-14_16-22-43_1,3370.343257241358,0.5141579868210396,0.54686731417189,6163.0,0.2553646538217542,0.06521110642150436,0.6035519577725525,2.4217184060569865,2.4217184060569865,0.019709399967991936,1492.2953615188599,20.273277282714844,19.897271486918132,75.0,3.2758326900620847,10.731079813279393,20.165130607992715,24.822389602661133,24.822389602661133,8.161786079406738,0.1478522500763463,0.02186028785263845,0.23768774237252524,0.07071662013375668,0.00500084036314204,1.0451660530366698,1.138317584991455,0.4165699976991659,0.1735305629830831,car
\1. Car_CSV\Auto-2023-05-14_16-22-43_2,3396.5496554428046,0.5200716917939815,0.5511195287104989,6163.0,0.2486559740963083,0.06182979345378394,0.6046176712434614,1.7274502755121843,1.7274502755121843,0.026047009579537424,1653.1168327331543,22.684362411499023,22.04155776977539,75.0,1.0363027335847759,1.073923355635279,22.065905652702796,23.04559135437012,23.04559135437012,19.846494674682617,0.048284747705529214,0.0023314168609866086,0.1437309519004404,0.01557738533171385,0.0002426549337726938,1.0524805017847894,1.096484899520874,0.045444103406013,0.0020651665343764023,car
